vehiculo_label,modelo,promedio_calificacion,n_resenas
Dodge Durango GT,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Durango R/T,5.0,5.0,1
Dodge Charger R/T,5.0,5.0,1
Dodge Durango R/T,5.0,5.0,1
Dodge Challenger R/T Scat Pack,5.0,5.0,1
Dodge Ram 1500 ST,5.0,5.0,1
Dodge Challenger R/T,5.0,5.0,1
Dodge Dart SXT,5.0,5.0,1
Dodge Durango SXT,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Challenger R/T,5.0,5.0,1
Dodge Challenger SXT,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Dakota ST,5.0,5.0,1
Dodge Challenger R/T,5.0,5.0,1
Dodge Charger GT,5.0,5.0,1
Dodge Journey Crossroad,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Durango R/T,5.0,5.0,1
Dodge Challenger SRT8,5.0,5.0,1
Dodge Charger GT,5.0,5.0,1
Dodge Challenger R/T,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Challenger SXT,5.0,5.0,1
Dodge Durango GT,5.0,5.0,1
Dodge Durango GT Plus,5.0,5.0,1
Dodge Durango R/T,5.0,5.0,1
Ford Explorer Limited,5.0,5.0,1
Ford Mustang Mach 1,5.0,5.0,1
Ford F-250 Lariat,5.0,5.0,1
Ford F-150 XLT,5.0,5.0,1
Ford F-250 XL,5.0,5.0,1
Ford Bronco Raptor,5.0,5.0,1
Ford F-250 XLT,5.0,5.0,1
Ford Explorer Platinum,5.0,5.0,1
Ford Bronco Outer Banks,5.0,5.0,1
Ford Mustang Mach-E Premium,5.0,5.0,1
Ford F-150 XLT,5.0,5.0,1
Ford Bronco Outer Banks Advanced,5.0,5.0,1
Ford Mustang EcoBoost Premium,5.0,5.0,1
Ford F-350 XL,5.0,5.0,1
Ford Expedition Max XLT,5.0,5.0,1
Ford Bronco Black Diamond,5.0,5.0,1
Ford Bronco Outer Banks Advanced,5.0,5.0,1
Ford Bronco Outer Banks Advanced,5.0,5.0,1
Ford Explorer Timberline,5.0,5.0,1
Ford Explorer Platinum,5.0,5.0,1
Ford Mustang Mach 1,5.0,5.0,1
Ford F-150 Lariat,5.0,5.0,1
Ford Expedition EL Limited,5.0,5.0,1
Ford Bronco,5.0,5.0,1
Ford Escape SEL,5.0,5.0,1
Ford F-150 Lariat,5.0,5.0,1
Ford Transit Connect XL,5.0,5.0,1
Ford Explorer ST-Line,5.0,5.0,1
Ford Mustang Mach-E Premium,5.0,5.0,1
Hyundai Tucson SEL,5.0,5.0,1
Hyundai Elantra SEL,5.0,5.0,1
Hyundai Tucson Hybrid SEL Convenience,5.0,5.0,1
Hyundai Santa Cruz 2.5T Limited,5.0,5.0,1
Hyundai Kona N Base,5.0,5.0,1
Hyundai Palisade XRT,5.0,5.0,1
Hyundai Elantra SEL,5.0,5.0,1
Hyundai Elantra SE,5.0,5.0,1
Hyundai Elantra N Base,5.0,5.0,1
Hyundai IONIQ 5 SEL,5.0,5.0,1
Hyundai Palisade Calligraphy,5.0,5.0,1
Hyundai Palisade SEL,5.0,5.0,1
Hyundai Elantra HEV Limited,5.0,5.0,1
Hyundai Palisade SEL,5.0,5.0,1
Hyundai Accent SE,5.0,5.0,1
Hyundai Veloster N N,5.0,5.0,1
Hyundai Palisade SEL,5.0,5.0,1
Hyundai IONIQ 5 SE,5.0,5.0,1
Hyundai Kona N Base,5.0,5.0,1
Hyundai Kona SEL,5.0,5.0,1
Hyundai Venue SE,5.0,5.0,1
Hyundai Palisade Calligraphy,5.0,5.0,1
Hyundai Santa Cruz 2.5T SEL Premium,5.0,5.0,1
Hyundai IONIQ Hybrid Limited,5.0,5.0,1
Hyundai Elantra Touring GLS,5.0,5.0,1
Hyundai Santa Fe Limited 2.4,5.0,5.0,1
Hyundai Genesis Coupe 2.0T Premium,5.0,5.0,1
Hyundai Palisade SEL,5.0,5.0,1
Hyundai Santa Fe SEL,5.0,5.0,1
Hyundai Sonata SEL,5.0,5.0,1
Hyundai Palisade Limited,5.0,5.0,1
Hyundai Tucson Limited,5.0,5.0,1
Hyundai Tucson SEL,5.0,5.0,1
Hyundai Santa Fe XRT,5.0,5.0,1
Hyundai Palisade XRT,5.0,5.0,1
Hyundai Santa Fe Limited 2.0T,5.0,5.0,1
Hyundai Sonata SEL,5.0,5.0,1
Hyundai Palisade SEL,5.0,5.0,1
Hyundai Elantra GT Base,5.0,5.0,1
Hyundai Tucson SE Plus,5.0,5.0,1
Hyundai Palisade SEL,5.0,5.0,1
Hyundai Palisade Calligraphy,5.0,5.0,1
Hyundai Palisade Limited,5.0,5.0,1
Hyundai Veloster Base,5.0,5.0,1
Hyundai Palisade Calligraphy,5.0,5.0,1
Hyundai Accent SE,5.0,5.0,1
Hyundai Kona Ultimate,5.0,5.0,1
Hyundai Palisade SE,5.0,5.0,1
Hyundai Sonata Limited,5.0,5.0,1
Hyundai Palisade Calligraphy,5.0,5.0,1
Hyundai Accent SEL,5.0,5.0,1
Hyundai Palisade SEL,5.0,5.0,1
Hyundai Santa Fe HEV Limited,5.0,5.0,1
Hyundai Kona N Line,5.0,5.0,1
Hyundai Kona Limited,5.0,5.0,1
Hyundai Tucson SE,5.0,5.0,1
Hyundai Sonata Limited,5.0,5.0,1
Hyundai Tucson SE,5.0,5.0,1
Hyundai Santa Fe Sport 2.4L,5.0,5.0,1
Hyundai Santa Fe SEL,5.0,5.0,1
Hyundai IONIQ 5 SE Standard Range,5.0,5.0,1
Hyundai Palisade Limited,5.0,5.0,1
Hyundai Santa Fe Limited 2.0T,5.0,5.0,1
Hyundai Tucson SE,5.0,5.0,1
Hyundai Santa Fe HEV SEL Premium,5.0,5.0,1
Hyundai Sonata N Line,5.0,5.0,1
Hyundai Tucson SEL,5.0,5.0,1
Hyundai Santa Fe SEL,5.0,5.0,1
Hyundai Santa Fe Calligraphy,5.0,5.0,1
Hyundai Sonata Hybrid Limited,5.0,5.0,1
Hyundai Genesis 3.8,5.0,5.0,1
Hyundai Elantra SEL,5.0,5.0,1
Hyundai Sonata SEL,5.0,5.0,1
Hyundai Tucson Sport,5.0,5.0,1
Hyundai Palisade Calligraphy,5.0,5.0,1
Hyundai Kona SEL,5.0,5.0,1
Hyundai Santa Fe SEL,5.0,5.0,1
Hyundai Sonata Limited,5.0,5.0,1
Hyundai Sonata Limited 2.0T,5.0,5.0,1
Hyundai Santa Fe SEL 2.0T,5.0,5.0,1
Hyundai Tucson Sport,5.0,5.0,1
Hyundai Tucson SE,5.0,5.0,1
INFINITI QX60 Luxe,5.0,5.0,1
INFINITI QX80 Luxe,5.0,5.0,1
INFINITI Q60 3.0t Red Sport 400,5.0,5.0,1
INFINITI Q60 3.0t LUXE,5.0,5.0,1
INFINITI QX80 PREMIUM SELECT,5.0,5.0,1
INFINITI Q50 RED SPORT 400,5.0,5.0,1
INFINITI Q50 Base,5.0,5.0,1
INFINITI QX60 Luxe,5.0,5.0,1
INFINITI Q45 4dr Sdn,5.0,5.0,1
INFINITI QX50 SENSORY,5.0,5.0,1
INFINITI QX60 Luxe,5.0,5.0,1
INFINITI QX55 SENSORY,5.0,5.0,1
INFINITI QX50 Luxe,5.0,5.0,1
INFINITI QX80 Luxe,5.0,5.0,1
INFINITI QX50 Base,5.0,5.0,1
INFINITI QX50 Luxe,5.0,5.0,1
INFINITI Q60 3.0t Red Sport 400,5.0,5.0,1
INFINITI QX60 Pure,5.0,5.0,1
INFINITI G25 Base,5.0,5.0,1
INFINITI QX55 ESSENTIAL,5.0,5.0,1
INFINITI Q50 3.0t Sport,5.0,5.0,1
INFINITI G37x Base,5.0,5.0,1
INFINITI QX55 ESSENTIAL,5.0,5.0,1
INFINITI QX80 Luxe,5.0,5.0,1
INFINITI QX50 LUXE,5.0,5.0,1
INFINITI QX80 Luxe,5.0,5.0,1
INFINITI Q50 3.0t Sport,5.0,5.0,1
INFINITI G37 x,5.0,5.0,1
INFINITI Q60 3.0t LUXE,5.0,5.0,1
